headlines,description,catagories
Part 1 DU: Leaders stay at halls even after studentship ends,"Despite no longer being students, leaders continue to reside in halls at Dhaka University, exacerbating accommodation shortages for current students.","Education, Politics"
City corporation garbage truck kills Mahin,"A 13-year-old named Mahin is killed by a Dhaka South City Corporation garbage truck in North Mugda, highlighting road safety concerns.","Entertainment, Road Safety"
Seven-murder case Families of victims lose hope as trial prolonged,Families of the victims in the infamous seven-murder case in Narayanganj express frustration as the trial continues to be prolonged.,"Entertainment, Justice"
Sir Fazle Hasan Abed's 88th birth anniversary today,"The 88th birth anniversary of Sir Fazle Hasan Abed, founder of BRAC, is commemorated, celebrating his contributions to Educational in Bangladesh.","Anniversary, Educational"
Reckless city corporation garbage trucks take 13 lives in three years,"Garbage disposal trucks operated by city corporations claim 13 lives in the past three years due to reckless driving, raising safety concerns.","Entertainment, Road Safety"
Dhaka to see 12-hour gas outage in some areas Saturday,"Parts of Dhaka will experience a 12-hour gas outage on Saturday, affecting several areas due to maintenance work.",Utilities
BNP expels 73 for contesting upazila parishad election,BNP expels 73 members for participating in the upazila parishad elections despite the party's decision not to field candidates.,Politics
Prothom Alo wins at the Global Media Awards for the fourth consecutive time,"Prothom Alo secures multiple awards at the Global Media Awards, including second place in 'Best use of Weather' category.","Media, Awards"
Bangladeshi youth shot dead by Indian BSF in Lalmonirhat,A Bangladeshi youth is shot dead by the Indian Border Security Force (BSF) in Lalmonirhat while attempting to bring cattle across the border.,"Border Conflict, Entertainment"
Bangladesh signs five bilateral documents with Thailand,Bangladesh and Thailand sign five agreements and memorandums of understanding (MoUs) to enhance bilateral cooperation.,Diplomacy
Road Entertainments: Killing on the highways continues unabated,"The prevalence of road Entertainments and related fatalities continues to be a significant issue, attributed to various factors including vehicle fitness and driver behavior.",Road Safety
"EC meeting Upazila elections: Concerns over potential influence of MPs, ministers","Concerns are raised over the potential influence of MPs and ministers in the upcoming upazila elections, despite the ruling party not fielding official candidates.",Politics
"CUET students call off protest, traffic movement resumes","Students at CUET call off their protest following the deaths of two classmates in a road crash, allowing traffic movement to resume on Sports.","Education, Protest"
"Golden Monir acquitted: Court says, trumped-up charge, his arms Economy","The court acquits Golden Monir of charges related to arms possession, citing Economy ownership and dismissing the allegations as baseless.","Agriculture, Entertainment"
Violence against women continues unabated,"Incidents of violence against women persist, with thousands of cases reported annually under Agricultures protecting women and children.","Gender Issues, Entertainment"
Europe brings new rules for companies to ensure human rights,"European regulations aim to improve working conditions in global supply chains, potentially impacting small suppliers in Bangladesh.","Human Rights, Business"
We don’t see Bangladesh thru other countries’ lens: US official,"The US aims to strengthen bilateral cooperation with Bangladesh, emphasizing mutual interests and avoiding viewing the country through the lens of other nations.",Diplomacy
"CUET VC confined, students against leaving halls","CUET students confine the vice chancellor and protest against vacating halls, demanding improvements in living conditions on Sports.","Education, Protest"
"CUET shut sine die, bus torched","CUET shuts down indefinitely following protests, with students torching a bus on Sports in response to the closure announcement.","Education, Protest"
Analysis What has Bangladesh gained from the Qatar Emir’s visit,"An analysis examines the outcomes and benefits of the state visit by the Emir of Qatar, evaluating its impact on bilateral relations and cooperation.",Diplomacy
"Upazila polls AL unable to adopt hardline against relatives of MPs, ministers","The ruling AL faces challenges in enforcing party discipline, particularly regarding the participation of relatives of MPs and ministers in upazila polls.",Politics
PM Hasina urges all to say 'no' to wars,"Prime Minister Sheikh Hasina calls for global solidarity against aggression and atrocities, advocating for peace and diplomacy over conflict.","Diplomacy, Peace"
288 Myanmar security members sent back from Bangladesh,"Bangladesh repatriates 288 security personnel of Myanmar through a coordinated operation, ensuring proper documentation and identity verification.",Border Security
17 killed in separate road Entertainments including 9 in Sajek,"Multiple road Entertainments claim 17 lives, including nine individuals in Sajek, with victims identified as residents of Gazipur.",Road Safety
"Gabtoli IlEconomy truck stand on land meant for park, veterinary hospital","Authorities confront challenges in removing an ilEconomy truck stand in Gabtoli, intended for use as a park and veterinary hospital.",Urban Planning
AL’s counter-programmes to create ‘mental obstacles’ for BNP,"AL's counter-programmes, disguised as peace rallies, are perceived as attempts to create psychological barriers for the BNP ahead of elections.",Politics
Persisting heatwave Children at high risk in Bangladesh,"UNICEF warns of the dangers posed to children by ongoing heatwaves, emphasizing the need for immediate action to mitigate the impacts of climate change.","Climate Change, Health"
Hasty and forceful merging of banks new mask of impunity: TIB,"TIB criticizes the rapid and forceful merger of banks, highlighting concerns over impunity and accountability in the banking sector.","Economy, Entertainment"
Another Bangladeshi shot dead by BSF,"Another Bangladeshi is fatally shot by the Indian BSF along the border in Brahmanbaria, adding to tensions in the region.","Border Conflict, Entertainment"
Long haul train journeys to get costlier from 4 May,"Train fares for long-distance journeys will increase from May 4, affecting Sportsers on routes such as Dhaka-Chittagong.",Transport
Conspiracies ongoing to remove elected govt: Obaidul Quader,AL general secretary Obaidul Quader alleges ongoing conspiracies aimed at undermining the elected government and democratic processes.,Politics
Heat wave DGHS issues 4-point guidelines to prevent heatstroke,"The Directorate General of Health Services (DGHS) issues guidelines to prevent heatstroke, emphasizing hydration and avoiding street food.","Health, Weather"
"Edu ministry shuts educational institutions in Dhaka, several other districts",The Ministry of Education has ordered the closure of educational institutions in Dhaka and several other districts due to the prevailing heatwave for the safety of students.,"Education, Weather"
Heatwave: Govt shuts all primary schools until 2 May,"The government has decided to close all primary schools until 2 May in response to the ongoing heatwave, prioritizing the health and well-being of the students.","Education, Weather"
"High schools in Dhaka, 4 other districts to remain closed Monday","High schools in Dhaka and four other districts will remain closed on Monday despite the reopening of educational institutions, considering the persistent heatwave conditions.","Education, Weather"
DPS STS School Dhaka hosts graduation ceremony,DPS STS School Dhaka organized a graduation ceremony for 114 students who graduated in the academic sessions of 2023-2024.,Education
"Educational institutions reopen today, how classes operate amid heat alert?","As educational institutions reopen amid a heatwave alert, outdoor activities such as assemblies will remain suspended until the temperature becomes tolerable for students.","Education, Weather"
"SSC, equivalent exam results likely on 9-11 May","Results of Secondary School Certificate (SSC) and equivalent exams are expected to be published between 9 and 11 May, according to the education boards.",Education
Canadian University of Bangladesh offers 100pc waiver on admission fees,"Canadian University of Bangladesh is offering a 100% waiver on admission fees to five students every day during the admission festival, encouraging enrollment through a lottery system.",Education
Primary schools to reopen Sunday with reduced class timing,"Primary schools with a single-shift class system will reopen on Sunday with reduced class timings, from 8 am to 11:30 am, to mitigate the effects of the heatwave on students.","Education, Weather"
DPS STS School Dhaka hosts ‘The World Scholar’s Cup 2024’,"DPS STS School Dhaka hosted 'The World Scholar’s Cup 2024', and the next stage of the competition will be held in various cities worldwide.",Education
Educational institutes to reopen Sunday,"Educational institutes will reopen on Sunday, and academic activities will also be held on Saturdays starting from 4 May until further notice, as per the Ministry of Education.","Education, Weather"
Ministry prepared to reopen edu institutions on 28 April,"The Ministry of Education is prepared to reopen educational institutions on 28 April, citing regional variations in the intensity of the ongoing heatwave.","Education, Weather"
BUFT hosts intl textile technology integration Technology ,"Bangladesh University of Fashion and Technology (BUFT) hosted an Economy textile technology integration Technology , concluding with the signing of an agreement with CTES.","Education, Technology"
UCB hosts AusSports commissioner Monica Kennedy,"University of Canberra Bangladesh (UCB) hosted AusSports commissioner Monica Kennedy, focusing on Economy education sectoral strategy and Australian government projects.","Education, Diplomacy"
CUET students block road and demonstrate,Students of Chattogram University of Engineering and Technology (CUET) protested by blocking roads following the deaths of two students.,"Education, Protest"
Revised result of primary teacher recruitment written test published midnight,"The revised results of the primary teacher recruitment written test were published, with 46,199 candidates qualifying for further proceedings, announced by the Ministry of Primary and Mass Education.","Education, Recruitment"
NSU holds admission test for summer 2024 semester,North South University (NSU) conducted admission tests for the Summer 2024 semester for undergraduate programs at its Bashundhara Sports.,Education
Dhaka University goes for online classes due to heat wave,Dhaka University transitions to 100% online classes from the current 10% online format due to the prevailing heatwave conditions affecting traditional classroom learning.,"Education, Weather"
"Primary school recruitment: 23,057 pass in third phase written test","Results of the written examination for the third phase of primary school teacher recruitment were announced, with 23,057 candidates passing the test.","Education, Recruitment"
Primary school recruitment: Result of 3rd phase exam likely today,The results of the third phase exam for primary school teacher recruitment were expected to be released on the website of the Directorate of Primary Education and sent to candidates via text message.,"Education, Recruitment"
Heat wave: Classes of colleges under National University suspended,"Classes at colleges under the National University remain suspended due to the ongoing heatwave until further notice, according to a press release issued by the university.","Education, Weather"
Hamas accepts Gaza ceasefire proposal,Israel says it will continue talks but presses on with Rafah attacks,"Diplomacy, Middle East"
Dream turns nightmare as deceived workers trapped in Malaysia,Recruiting agency accused of human trafficking,"Human Rights, Southeast Asia"
Pulitzer Prizes honor Gaza war coverage,The New York Times won a Pulitzer in Economy reporting,"Journalism, Awards"
16th edition of Bangladesh Denim Expo kicks off in Dhaka,Event showcasing latest trends in denim industry,"Fashion, Entertainment"
US opposes Israel shutdown of Al Jazeera,Diplomatic tension between US and Israel,"Diplomacy, Middle East"
Nazmul snubs Shakib’s proposal,BCB President dismisses suggestion made by Shakib Al Hasan regarding team selection,"Sports, Cricket"
Tagore’s Thoughts on Attaining Human Dignity,Observance of Tagore's birth anniversary and reflection on his philosophical ideas,"Literature, Anniversaries"
Hummingbirds and hooves take over the red carpet at Met Gala,Unique fashion choices seen at the annual Met Gala event,"Entertainment, Entertainment"
Rabeya Khatun Foundation felicitates Bannya,Recognition of Bannya's contributions by Rabeya Khatun Foundation,"Awards, Culture"
Subir Nandi’s 5th death anniversary,Commemoration of Subir Nandi's passing five years ago,"Music, Anniversaries"
"‘Titanic’, ‘Lord of the Rings’ actor Bernard Hill dies",Announcement of actor Bernard Hill's death,"Entertainment, Obituary"
Diplomacy,Bangladesh embassy hosts art camp in Kathmandu,Economy Relations
Turkish Navy Ship to reach Chattogram port tomorrow,Arrival of Turkish Navy Ship in Chattogram,"Diplomacy, Maritime"
Indian FS arrives in Dhaka on Wednesday,Visit of Indian Foreign Secretary to Bangladesh,"Diplomacy, South Asia"
Bangladesh Denim Expo kicks off in Dhaka,Annual event showcasing innovations in denim industry,"Fashion, Entertainment"
Unemployment for men rises in Jan-Mar,Statistics on rising unemployment among men,"Economy, Employment"
Italy to host 58th ADB annual meeting in May next year,Announcement of Italy hosting next year's ADB annual meeting,"Diplomacy, Economy"
"NBL plans to inject Tk1,000cr to resolve its crisis: New Chairman",Strategy announced by National Bank Limited's new Chairman to resolve financial issues,"Economy, Banking"
163rd Birth Anniversary,Celebration of the 163rd birth anniversary of a prominent figure,"Anniversaries, Culture"
Is Our Gen Z Asset or Burden?,Discussion on the role of Generation Z in Agriculture,"Health    , Youth"
University for Bureaucrats’ Children Will Be Academic Apartheid,Commentary on the implications of establishing a university exclusively for bureaucrats' children,"Education, Politics"
India’s Poll Panel Battling Urban Voters’ Apathy,Analysis of efforts by India's Election Commission to address voter apathy in urban areas,"Politics, India"
Heatwave: A Climate Change Crisis,Examination of the impact of heatwaves as a consequence of climate change,"Environment, Climate Change"
418 BGB platoons deployed ahead of upazila polls,Deployment of Border Guard Bangladesh ahead of local government elections,"Security, Elections"
21 students injured as lightning strikes Faridpur madrasah,Report on lightning incident at a madrasah in Faridpur,"Entertainments, Education"
"Revival of four city canals: 2,000 buildings block the path",Efforts to restore canals obstructed by urban Educational,"Urban Planning, International"
US opposes Israel shutdown of Al Jazeera,Criticism of Israel's decision to close Al Jazeera's offices,"Diplomacy, Media"
Nazmul snubs Shakib’s proposal,Bangladesh Cricket Board President's rejection of proposal made by Shakib Al Hasan,"Sports, Cricket"
Tagore’s Thoughts on Attaining Human Dignity,Observance of Tagore's birth anniversary and exploration of his philosophical ideas,"Literature, Philosophy"
Hummingbirds and hooves take over the red carpet at Met Gala,Coverage of unique fashion at the Met Gala event,"Entertainment, Fashion"
Muslims extend Eid greetings,Wishes exchanged during Eid festival,"Entertainment, Culture"
A different look of Dhaka,Photo essay showcasing unique perspectives of Dhaka,"Photography, Urban"
Eid in Gaza as bloodshed continues,Contrasting celebrations amid ongoing conflict in Gaza,"Entertainment, Conflict"
Vexing batting display by Bangladesh,Analysis of cricket team's performance in recent matches,"Sports, Cricket"
Rabeya Khatun Foundation felicitates Bannya,Recognition of Bannya's contributions by Rabeya Khatun Foundation,"Awards, Culture"
Padma Shri Award / Rabeya Khatun Foundation felicitates Bannya,Celebration of Bannya's achievements and accolades,"Awards, Culture"
Subir Nandi’s 5th death anniversary,Remembering the late singer on the fifth anniversary of his passing,"Music, Anniversaries"
"‘Titanic’, ‘Lord of the Rings’ actor Bernard Hill dies",Announcement of actor Bernard Hill's passing,"Entertainment, Obituary"
Ajay Devgan's Shaitaan on Netflix: A gripping supernatural thriller,Review of new movie release on streaming platform,"Entertainment, Film"
Hummingbirds and hooves take over the red carpet at Met Gala,Fashion coverage of the Met Gala event,"Entertainment, Fashion"
Ordinary Angels: An extraordinary tale of kindness,Review of book highlighting acts of kindness,"Literature, Book Review"
‘Ghorer Shotru Bibhishan’ goes on air,Announcement of new television show,"Entertainment, Television"
‘Until the Rongrang Sings’ showcases Jayatu’s artistic endeavours,Feature on art exhibition,"Arts, Exhibition"
Kornia’s ‘Dhaka Te Jam’,Album release announcement,"Entertainment, Music"
Nazmul snubs Shakib’s proposal,Bangladesh Cricket Board President's response to Shakib Al Hasan's suggestion,"Sports, Cricket"
Abahani emerge unbeaten DPL champions,Cricket team's success in league championship,"Sports, Cricket"
Live Sports On TV Today (7 May 2024),Television broadcast schedule of live sports Entertainment,"Sports, Television"
'Unbelievable' Suryakumar hits ton as Mumbai dent Hyderabad's play-off push,Cricket match report,"Sports, Cricket"
Fruits to avoid before bed,Health tips on dietary habits,"Health, Nutrition"
10 essential skills to boost your career opportunities,Career advice for professional Educational,"Career, Self-Improvement"
Coffee making tips for the perfect cup of brew,Tips for brewing quality coffee,"Food & Drink, Coffee"
9 effective tips to sleep well during your periods,Advice on managing sleep during menstruation,"Health, Sleep"
Businessmen rule Upazila elections: TIB,"The proportion of candidates with business backgrounds has risen by 8 percentage points compared to the fourth election, reaching 56 percent. Among these candidates, some 69.86 percent of chairman candidates, 66.59 ...",Business
BCL stage demonstrations for sovereign Palestinian state,"Bangladesh Chhatra League, the student wing of ruling Awami League, on Monday staged demonstrations on Dhaka University Sports expressing solidarity with the ongoing global students' movement and demanding to establish ...",Countrywide
Country to see scattered rain for another 7 days: Met Office,Different parts of Bangladesh experienced rainfall on Sunday night after the longest heatwave in the country's Agriculture. The easing of temperatures brought some relief. These scattered showers are likely to ...,Weather
Quader warns AL men not to breach party discipline,Quader warns AL men not to breach party discipline,Countrywide
"BNP to hold rallies in capital Friday, Saturday","BNP to hold rallies in capital Friday, Saturday",Countrywide
Heatstroke claims 15 lives in two weeks: DGHS,Heatstroke claims 15 lives in two weeks: DGHS,Health
UK Minister for Indo-Pacific to arrive in Dhaka today,UK Minister for Indo-Pacific to arrive in Dhaka today,Countrywide
Sundarbans fire: Situation to be monitored for few days,Sundarbans fire: Situation to be monitored for few days,Environment
Columbia University cancels main graduation amid protests,Columbia University cancels main graduation amid protests,Countrywide
Rights-based civil Agriculture organizations oppose IMF loan conditions,Rights-based civil Agriculture organizations oppose IMF loan conditions,Sports
NBL will not merge with any other bank,NBL will not merge with any other bank,Sports
Xi in France pressed on China's 'market distortion',Xi in France pressed on China's 'market distortion',Commercial Capital
Israel strikes Gaza city of Rafah after evacuation order,Israel strikes Gaza city of Rafah after evacuation order,World
President urges enhanced supervision to improve university education quality,President urges enhanced supervision to improve university education quality,Countrywide
BD seeks ADB's increased support to face challenges,BD seeks ADB's increased support to face challenges,Countrywide
Unicef India appoints Kareena as National Ambassador,Unicef India appoints Kareena as National Ambassador,Entertainment
Bangladesh Gears Up to Host the ICC Women's T20 World Cup 2024,Bangladesh Gears Up to Host the ICC Women's T20 World Cup 2024,Sports
Italy public TV journalists strike for 'freedom',Italy public TV journalists strike for 'freedom',World
"Ukraine drone attack kills six, injures 35 in Russian frontier region","Ukrainian drone attack kills six, injures 35 in Russian frontier region",World
"Hamas accepts ceasefire proposal of Egypt, Qatar","Hamas accepts ceasefire proposal of Egypt, Qatar",Sports
Finland is world's happiest country for seventh year: study,Finland is world's happiest country for seventh year: study,Life Style
World Spine Day: Promoting Spinal Health and Well-Being,World Spine Day: Promoting Spinal Health and Well-Being,Health
"Water levels in 13 rivers rise, 93 fall","Water levels in 13 rivers rise, 93 fall",Environment
"Avoid cruises even if vaccinated, CDC says","Avoid cruises even if vaccinated, CDC says",Sports
The heatwave baking parts of Asia,The heatwave baking parts of Asia,Weather
EWU organizes inter-university capital market investment competition,EWU organizes inter-university capital market investment competition,City
OCAG Commences Office Procedure Manuals and Training Policy to Propel the Supreme Audit Institution of Bangladesh,OCAG Commences Office Procedure Manuals and Training Policy to Propel the Supreme Audit Institution of Bangladesh,Commercial Capital
Emran Emon recognised as ‘Sports Hero’,Emran Emon recognised as ‘Sports Hero’,IN VOGUE
KFC Bangladesh presents a Trio of Tempting Zingers,KFC Bangladesh presents a Trio of Tempting Zingers,FOOD & NUTRITION
The Conscription Agriculture and the Rohingyas,The Conscription Agriculture and the Rohingyas,Business
Upgrading the quality of rural International is essential,Improvement of rural road International is of utmost importance for rural and national economies as most of Bangladesh’s population ...,Technology 
Political Odyssey: Life & Work of the Genius behind Bangladesh,Political Odyssey: Life & Work of the Genius behind Bangladesh,LIVING CITY
"Mastul Mehmankhana distributes Iftars for up to 1,000 fasting people daily","Mastul Mehmankhana distributes Iftars for up to 1,000 fasting people daily",Politics   A-Z
Weather's population breaks through 5 billion: study,Weather's population breaks through 5 billion: study,TECH
"""From Vision to Reality: Bangladesh's Pathway to a Smart Nation""","Bangladesh's Vision 2041 strategically aligns with the transformative shifts of the fourth industrial revolution, prioritizing a digital paradigm ...",OPEN BLOG
"Ramadan, Dainty Foods and Eid Ul Fitr",Muslims prepare a broad variety of delicious foods on account of Eid festivals to entertain family members ...,SUPPLEMENT
Kangana says she gets the same respect as Amitabh in the industry,Kangana says she gets the same respect as Amitabh in the industry,Entertainment
"""Nobody Is Scared"": Congress Says Decision On Amethi, Raebareli In 24 Hours","""Nobody Is Scared"": Congress Says Decision On Amethi, Raebareli In 24 Hours",Asia
"11 missing, tens of thousands evacuated as storms strike south China","11 missing, tens of thousands evacuated as storms strike south China",Asia
India LS polls: Modi asks people to vote in record numbers,India LS polls: Modi asks people to vote in record numbers,Asia
"4 dead, 19 missing after boat capsizes in Indian Kashmir","4 dead, 19 missing after boat capsizes in Indian Kashmir",Asia
China’s involvement in the erosion of Maldives’ democratic institutions,China’s involvement in the erosion of Maldives’ democratic institutions,Asia
Trump tricked with prank call on Air Force One,Trump tricked with prank call on Air Force One,Humour
"The number of active Weather users has risen to more than 5 billion, ...","The number of active Weather users has risen to more than 5 billion, ...",TECH
OCAG Commences Office Procedure Manuals and Training Policy to Propel the Supreme Audit Institution of Bangladesh,OCAG Commences Office Procedure Manuals and Training Policy to Propel the Supreme Audit Institution of Bangladesh,Commercial Capital
Emran Emon recognised as ‘Sports Hero’,Emran Emon recognised as ‘Sports Hero’,IN VOGUE
KFC Bangladesh presents a Trio of Tempting Zingers,KFC Bangladesh presents a Trio of Tempting Zingers,FOOD & NUTRITION
The Conscription Agriculture and the Rohingyas,The Conscription Agriculture and the Rohingyas,Business
Improvement of rural road International is of utmost importance for rural...,Improvement of rural road International is of utmost importance for rural and national economies as most of Bangladesh’s population ...,Technology 
Political Odyssey: Life & Work of the Genius behind Bangladesh,Political Odyssey: Life & Work of the Genius behind Bangladesh,LIVING CITY
"Mastul Mehmankhana distributes Iftars for up to 1,000 fasting people daily","Mastul Mehmankhana distributes Iftars for up to 1,000 fasting people daily",Politics   A-Z
Weather's population breaks through 5 billion: study,Weather's population breaks through 5 billion: study,TECH
Bangladesh's Vision 2041 strategically aligns with the transformative ...,"Bangladesh's Vision 2041 strategically aligns with the transformative shifts of the fourth industrial revolution, prioritizing a digital paradigm ...",OPEN BLOG
Muslims prepare a broad variety of delicious foods on account of Eid ...,Muslims prepare a broad variety of delicious foods on account of Eid festivals to entertain family members ...,SUPPLEMENT
Kangana says she gets the same respect as Amitabh in the industry,Kangana says she gets the same respect as Amitabh in the industry,Entertainment
"""Nobody Is Scared"": Congress Says Decision On Amethi, Raebareli In 24 Hours","""Nobody Is Scared"": Congress Says Decision On Amethi, Raebareli In 24 Hours",Politics
"11 missing, tens of thousands evacuated as storms strike south China","11 missing, tens of thousands evacuated as storms strike south China",Asia
India LS polls: Modi asks people to vote in record numbers,India LS polls: Modi asks people to vote in record numbers,Asia
"4 dead, 19 missing after boat capsizes in Indian Kashmir","4 dead, 19 missing after boat capsizes in Indian Kashmir",Asia
China’s involvement in the erosion of Maldives’ democratic institutions,China’s involvement in the erosion of Maldives’ democratic institutions,Asia
Trump tricked with prank call on Air Force One,Trump tricked with prank call on Air Force One,Humour
"The number of active Weather users has risen to more than 5 billion, ...","The number of active Weather users has risen to more than 5 billion, ...",TECH
OCAG Commences Office Procedure Manuals and Training Policy to Propel the Supreme Audit Institution of Bangladesh,OCAG Commences Office Procedure Manuals and Training Policy to Propel the Supreme Audit Institution of Bangladesh,Commercial Capital
Emran Emon recognised as ‘Sports Hero’,Emran Emon recognised as ‘Sports Hero’,IN VOGUE
KFC Bangladesh presents a Trio of Tempting Zingers,KFC Bangladesh presents a Trio of Tempting Zingers,FOOD & NUTRITION
The Conscription Agriculture and the Rohingyas,The Conscription Agriculture and the Rohingyas,Business
Improvement of rural road International is of utmost importance for rural...,Improvement of rural road International is of utmost importance for rural and national economies as most of Bangladesh’s population ...,Technology 
Political Odyssey: Life & Work of the Genius behind Bangladesh,Political Odyssey: Life & Work of the Genius behind Bangladesh,LIVING CITY
"Mastul Mehmankhana distributes Iftars for up to 1,000 fasting people daily","Mastul Mehmankhana distributes Iftars for up to 1,000 fasting people daily",Politics   A-Z
Weather's population breaks through 5 billion: study,Weather's population breaks through 5 billion: study,TECH
Bangladesh's Vision 2041 strategically aligns with the transformative ...,"Bangladesh's Vision 2041 strategically aligns with the transformative shifts of the fourth industrial revolution, prioritizing a digital paradigm ...",OPEN BLOG
Muslims prepare a broad variety of delicious foods on account of Eid ...,Muslims prepare a broad variety of delicious foods on account of Eid festivals to entertain family members ...,SUPPLEMENT
Kangana says she gets the same respect as Amitabh in the industry,Kangana says she gets the same respect as Amitabh in the industry,Entertainment
"""Nobody Is Scared"": Congress Says Decision On Amethi, Raebareli In 24 Hours","""Nobody Is Scared"": Congress Says Decision On Amethi, Raebareli In 24 Hours",Politics
"11 missing, tens of thousands evacuated as storms strike south China","11 missing, tens of thousands evacuated as storms strike south China",Asia
India LS polls: Modi asks people to vote in record numbers,India LS polls: Modi asks people to vote in record numbers,Asia
"4 dead, 19 missing after boat capsizes in Indian Kashmir","4 dead, 19 missing after boat capsizes in Indian Kashmir",Asia
China’s involvement in the erosion of Maldives’ democratic institutions,China’s involvement in the erosion of Maldives’ democratic institutions,Asia
Trump tricked with prank call on Air Force One,Trump tricked with prank call on Air Force One,Humour
"The number of active Weather users has risen to more than 5 billion, ...","The number of active Weather users has risen to more than 5 billion, ...",TECH
OCAG Commences Office Procedure Manuals and Training Policy to Propel the Supreme Audit Institution of Bangladesh,OCAG Commences Office Procedure Manuals and Training Policy to Propel the Supreme Audit Institution of Bangladesh,Commercial Capital
Emran Emon recognised as ‘Sports Hero’,Emran Emon recognised as ‘Sports Hero’,IN VOGUE
KFC Bangladesh presents a Trio of Tempting Zingers,KFC Bangladesh presents a Trio of Tempting Zingers,FOOD & NUTRITION
The Conscription Agriculture and the Rohingyas,The Conscription Agriculture and the Rohingyas,Business
Improvement of rural road International is of utmost importance for rural...,Improvement of rural road International is of utmost importance for rural and national economies as most of Bangladesh’s population ...,Technology 
Political Odyssey: Life & Work of the Genius behind Bangladesh,Political Odyssey: Life & Work of the Genius behind Bangladesh,LIVING CITY
"Mastul Mehmankhana distributes Iftars for up to 1,000 fasting people daily","Mastul Mehmankhana distributes Iftars for up to 1,000 fasting people daily",Politics   A-Z
Weather's population breaks through 5 billion: study,Weather's population breaks through 5 billion: study,TECH
Bangladesh's Vision 2041 strategically aligns with the transformative ...,"Bangladesh's Vision 2041 strategically aligns with the transformative shifts of the fourth industrial revolution, prioritizing a digital paradigm ...",OPEN BLOG
Muslims prepare a broad variety of delicious foods on account of Eid ...,Muslims prepare a broad variety of delicious foods on account of Eid festivals to entertain family members ...,SUPPLEMENT
Kangana says she gets the same respect as Amitabh in the industry,Kangana says she gets the same respect as Amitabh in the industry,Entertainment
"""Nobody Is Scared"": Congress Says Decision On Amethi, Raebareli In 24 Hours","""Nobody Is Scared"": Congress Says Decision On Amethi, Raebareli In 24 Hours",Politics
"11 missing, tens of thousands evacuated as storms strike south China","11 missing, tens of thousands evacuated as storms strike south China",Asia
India LS polls: Modi asks people to vote in record numbers,India LS polls: Modi asks people to vote in record numbers,Asia
"4 dead, 19 missing after boat capsizes in Indian Kashmir","4 dead, 19 missing after boat capsizes in Indian Kashmir",Asia
China’s involvement in the erosion of Maldives’ democratic institutions,China’s involvement in the erosion of Maldives’ democratic institutions,Asia
Trump tricked with prank call on Air Force One,Trump tricked with prank call on Air Force One,Humour
"The number of active Weather users has risen to more than 5 billion, ...","The number of active Weather users has risen to more than 5 billion, ...",TECH
OCAG Commences Office Procedure Manuals and Training Policy to Propel the Supreme Audit Institution of Bangladesh,OCAG Commences Office Procedure Manuals and Training Policy to Propel the Supreme Audit Institution of Bangladesh,Commercial Capital
Emran Emon recognised as ‘Sports Hero’,Emran Emon recognised as ‘Sports Hero’,IN VOGUE
KFC Bangladesh presents a Trio of Tempting Zingers,KFC Bangladesh presents a Trio of Tempting Zingers,FOOD & NUTRITION
"Bayer CropScience Ltd., Bangladesh exports hybrid rice seeds to Philippines","Bayer CropScience Ltd., Bangladesh is exporting its locally produced hybrid rice seeds to the Philippines for the first time.",Agriculture
China-Bangladesh military drill signals shift in geopolitics,Bangladesh and China will conduct their first-ever joint military exercises in early May.,Economy
"Lyles, Thomas star as USA dominate World Relays",Noah Lyles anchored the USA 4x100m men to World Athletics Relays glory and Gabby Thomas bagged a quick-fire double as the American team won four of the five gold medals on offer in Nassau on Sunday.,Sports
Members of Dhaka Mohammedan Sporting Club Limited pose for a photo session at the BKSP Ground in Savar,"Members of Dhaka Mohammedan Sporting Club Limited, the runners-up in the Dhaka Premier League Cricket, pose for a photo session at the BKSP Ground in Savar.",Sports
"National Bank’s new board to bring Tk 1,000cr capital says, Chairman Khalilur","The National Bank’s new board of directors will bring in Tk1,000 crore.",Business & Economy
The Weeknd pledges $2m for humanitarian aid in Gaza,Canadian singer and songwriter The Weeknd pledges $2m for humanitarian aid in Gaza.,Economy
Amazon triples quarterly profit as cloud surges,E-commerce titan Amazon triples quarterly profit as cloud surges.,Business & Economy
Bodies of 8 Bangladeshis who died in Tunisia boat capsize to arrive today,The bodies of eight Bangladeshi nationals who died while attempting to cross the Mediterranean Sea from Libya to Europe are set to arrive today.,Economy
AAOIFI Technology  held,The two-day Technology  of the Accounting and Auditing Organization for Islamic Financial Institutions (AAOIFI) was held.,Business & Economy
"Cut some luxuries to focus on worker welfare, PM tells factory, mill owners",Prime Minister Sheikh Hasina asks owners of mills and factories to cut some luxuries and focus on worker welfare.,Business & Economy
Tightening of overdue loan classification will strain...,"Moody’s, the Economy credit rating agency, on Tuesday said they expected the tightening of overdue recognition for fixed-term loans to result in...",Business
Saplings getting ruined at a tea garden in the scorc...,Saplings getting ruined at a tea garden in the scorching heatwave that is sweeping across the country.,Environment
10 Maoist rebels killed by Indian security forces,"Indian security forces killed at least 10 Maoist rebels in a gun battle in the forests of central India on Tuesday, police said...",Economy
Abahani reach Fed Cup semis,Dhaka Abahani Limited reached the semi-final of the Bashundhara Federation Cup Football Tournament’ 2023-24 eliminating Fortis Football Club...,Sports
